Cohort,Variable,Period,Start_date,End_date,Reference,Avg_ridit,SE_ridit
Student,Wore a facemask,2021-02-01 to 2021-04-30,2/1/2021,4/30/2021,2021-08-23 to 2021-12-18,0.746075982,0.019376083
Student,Wore a facemask,2022-08-01 to 2022-11-30,8/1/2022,11/30/2022,2021-12-19 to 2022-03-28,0.088679872,0.036802761
Student,Wore a facemask,2021-05-01 to 2021-08-23,5/1/2021,8/23/2021,2021-12-19 to 2022-03-28,0.466183575,0.035940023
Student,Wore a facemask,2021-08-23 to 2021-12-18,8/23/2021,12/18/2021,2021-12-19 to 2022-03-28,0.470261622,0.036277664
Student,Wore a facemask,2021-12-19 to 2022-03-28,12/19/2021,3/28/2022,2021-12-19 to 2022-03-28,0.5,0.044833142
Student,Wore a facemask,2020-06-01 to 2020-10-31,6/1/2020,10/31/2020,2021-12-19 to 2022-03-28,0.74366665,0.023859977
Student,Wore a facemask,2020-11-01 to 2021-01-31,11/1/2020,1/31/2021,2021-12-19 to 2022-03-28,0.755708667,0.024248046
Student,Wore a facemask,2021-02-01 to 2021-04-30,2/1/2021,4/30/2021,2021-12-19 to 2022-03-28,0.721650274,0.027770678
Student,Wore a facemask,2022-08-01 to 2022-11-30,8/1/2022,11/30/2022,2020-06-01 to 2020-10-31,0.034307175,0.01580652
Student,Wore a facemask,2021-05-01 to 2021-08-23,5/1/2021,8/23/2021,2020-06-01 to 2020-10-31,0.225120159,0.016096721
Student,Wore a facemask,2021-08-23 to 2021-12-18,8/23/2021,12/18/2021,2020-06-01 to 2020-10-31,0.232581558,0.016134695
Student,Wore a facemask,2021-12-19 to 2022-03-28,12/19/2021,3/28/2022,2020-06-01 to 2020-10-31,0.25633335,0.023859977
Student,Wore a facemask,2020-06-01 to 2020-10-31,6/1/2020,10/31/2020,2020-06-01 to 2020-10-31,0.5,0.008307674
Student,Wore a facemask,2020-11-01 to 2021-01-31,11/1/2020,1/31/2021,2020-06-01 to 2020-10-31,0.512004827,0.009201204
Student,Wore a facemask,2021-02-01 to 2021-04-30,2/1/2021,4/30/2021,2020-06-01 to 2020-10-31,0.477160028,0.01038363
Student,Wore a facemask,2022-08-01 to 2022-11-30,8/1/2022,11/30/2022,2020-11-01 to 2021-01-31,0.033222687,0.017890832
Student,Wore a facemask,2021-05-01 to 2021-08-23,5/1/2021,8/23/2021,2020-11-01 to 2021-01-31,0.21312244,0.017772743
Student,Wore a facemask,2021-08-23 to 2021-12-18,8/23/2021,12/18/2021,2020-11-01 to 2021-01-31,0.220806819,0.017776112
Student,Wore a facemask,2021-12-19 to 2022-03-28,12/19/2021,3/28/2022,2020-11-01 to 2021-01-31,0.244291333,0.024248046
Student,Wore a facemask,2020-06-01 to 2020-10-31,6/1/2020,10/31/2020,2020-11-01 to 2021-01-31,0.487995173,0.009201204
Student,Wore a facemask,2020-11-01 to 2021-01-31,11/1/2020,1/31/2021,2020-11-01 to 2021-01-31,0.5,0.009699005
Student,Wore a facemask,2021-02-01 to 2021-04-30,2/1/2021,4/30/2021,2020-11-01 to 2021-01-31,0.46509895,0.01118666
Student,Wore a facemask,2022-08-01 to 2022-11-30,8/1/2022,11/30/2022,2021-02-01 to 2021-04-30,0.038379059,0.019049794
Student,Wore a facemask,2021-05-01 to 2021-08-23,5/1/2021,8/23/2021,2021-02-01 to 2021-04-30,0.246741778,0.019324861
Student,Wore a facemask,2021-08-23 to 2021-12-18,8/23/2021,12/18/2021,2021-02-01 to 2021-04-30,0.253924018,0.019376083
Student,Wore a facemask,2021-12-19 to 2022-03-28,12/19/2021,3/28/2022,2021-02-01 to 2021-04-30,0.278349726,0.027770678
Student,Wore a facemask,2020-06-01 to 2020-10-31,6/1/2020,10/31/2020,2021-02-01 to 2021-04-30,0.522839972,0.01038363
Student,Wore a facemask,2020-11-01 to 2021-01-31,11/1/2020,1/31/2021,2021-02-01 to 2021-04-30,0.53490105,0.01118666
Student,Wore a facemask,2021-02-01 to 2021-04-30,2/1/2021,4/30/2021,2021-02-01 to 2021-04-30,0.5,0.012697124
Student,Wore a facemask pulled down,2020-03-01 to 2021-03-31,3/1/2020,3/31/2021,2020-03-01 to 2021-03-31,0.5,0.020761276
Student,Wore a facemask pulled down,2022-08-01 to 2022-11-30,8/1/2022,11/30/2022,2020-03-01 to 2021-03-31,0.320942627,0.019507746
Student,Wore a facemask pulled down,2021-05-01 to 2021-08-23,5/1/2021,8/23/2021,2020-03-01 to 2021-03-31,0.457713524,0.023109483
Student,Wore a facemask pulled down,2021-08-23 to 2021-12-18,8/23/2021,12/18/2021,2020-03-01 to 2021-03-31,0.478085072,0.023351957
Student,Wore a facemask pulled down,2021-12-19 to 2022-03-28,12/19/2021,3/28/2022,2020-03-01 to 2021-03-31,0.449461167,0.036125562
Student,Wore a facemask pulled down,2020-03-01 to 2021-03-31,3/1/2020,3/31/2021,2022-08-01 to 2022-11-30,1.057581786,0.019507746
Student,Wore a facemask pulled down,2022-08-01 to 2022-11-30,8/1/2022,11/30/2022,2022-08-01 to 2022-11-30,0.5,0.017463703
Student,Wore a facemask pulled down,2021-05-01 to 2021-08-23,5/1/2021,8/23/2021,2022-08-01 to 2022-11-30,1.039936415,0.021387546
Student,Wore a facemask pulled down,2021-08-23 to 2021-12-18,8/23/2021,12/18/2021,2022-08-01 to 2022-11-30,1.044515133,0.021611639
Student,Wore a facemask pulled down,2021-12-19 to 2022-03-28,12/19/2021,3/28/2022,2022-08-01 to 2022-11-30,1.083374979,0.031540415
Student,Wore a facemask pulled down,2020-03-01 to 2021-03-31,3/1/2020,3/31/2021,2021-05-01 to 2021-08-23,0.542286476,0.023109483
Student,Wore a facemask pulled down,2022-08-01 to 2022-11-30,8/1/2022,11/30/2022,2021-05-01 to 2021-08-23,0.339618489,0.021387546
